State,Coronavirus Helpline Numbers
Andhra Pradesh,0866-2410978
Arunachal Pradesh,9436055743
Assam,6913347770
Bihar,104
Chhattisgarh,104
Goa,104
Gujarat,104
Haryana,8558893911
Himachal Pradesh,104
Jharkhand,104
Karnataka,"104
080-4684 8600
080-6669 2000"
Kerala,0471-2552056
Maharashtra,020-26127394
Madhya Pradesh,0755-2527177
Manipur,3852411668
Mizoram,102
Meghalaya,108
Nagaland,7005539653
Punjab,104
Odisha,9439994859
Rajasthan,0141-2225624
Sikkim,104
Telangana,104
Tamil Nadu,"044-2951 0500
1800-120 555550 (Toll free)
044-2951 0400
044-2430 0300
044-4627 4446
+91-94443 40496 (Cell)
+91-87544 48477 (Cell)"
Tripura,0381-2315879
Uttar Pradesh,1800-1805-145
Uttarakhand,104
West Bengal,1800-313444222/ 033-23412600
Andaman and Nicobar Islands,03192-2321102
Chandigarh,9779558282
Dadra and Nagar Haveli,104
Daman and Diu,104
Jammu and Kashmir,01912520982/ 0194-2440283
Delhi,011-22307145
Ladakh,1982256462
Puducherry,104
Lakshadweep,104
National Coronavirus Helpline Number,"`+91-11-23978046   
 or
 1075  (Toll Free)"
National Coronavirus Helpline Email ID,ncov2019@gmail.com
